9784652023600,七人の犯罪者,理論社,2007-02,和田誠/イラスト 星新一/著
00933194193162,ありふれた手法,新潮社,19810610,星新一/著
9784041303115,ごたごた気流,角川書店,1985-09,星新一/著
9784101098081,マイ国家,新潮社,19760601,星新一/著
9784041303184,きまぐれロボット,KADOKAWA,20060125,星新一/著 角川書店装丁室/著
9784041303252,竹取物語,KADOKAWA,20080725,星新一/翻訳
9784101098289,かぼちゃの馬車,新潮社,19831027,星新一/著
9784101098111,午後の恐竜,新潮社,19770601,星新一/著
9784101098111,午後の恐竜,新潮社,19770601,星新一/著
9784101098333,ノックの音が,新潮社,19850927,星新一/著
9784101098463,これからの出来事,新潮社,19931125,星新一/著
9784101098159,ブランコの向こうで,新潮社,20080605,星新一/著
061311131,ノックの音が,新潮社,19830831,星新一/著
101098379,なりそこない王子,新潮社,19860225,星新一/著
101098409,ご依頼の件,新潮社,19890425,星新一/著
101098271,さまざまな迷路,新潮社,19890415,星新一/著
061312464,おかしな先祖,新潮社,19850410,星新一/著
9784101098265,未来いそっぷ,新潮社,19820827,星新一/著
9784101098050,ボンボンと悪夢,新潮社,19741101,星新一/著
9784101098340,夜のかくれんぼ,新潮社,19851029,星新一/著
9784041303191,声の網,KADOKAWA,20060125,星新一/著 角川書店装丁室/著
9784101098098,妖精配給会社,新潮社,19761202,星新一/著
9784101098449,凶夢など30,新潮社,19911220,星新一/著
9784101098128,白い服の男,新潮社,200503,星新一
9784101098319,エヌ氏の遊園地,新潮社,198507,星新一
4101098395,安全のカード,新潮社,19881010,星新一/著
9784101098517,天国からの道,新潮社,200509,星新一
9784041303269,城のなかの人,角川グループパブリッシング,200811,星新一
